question,ground_truth,answer,contexts
我这两年身体一直不好，总住院。我想查查，咱们哈尔滨职工医保一年下来，统筹基金最多能给咱们报销多少钱？,参保职工在一个年度内，符合医保统筹基金支付范围的医疗费用，最高支付限额为 50 万元。," 
user: 我想问问哈尔滨医保，如果我一年住了很多次院，统筹金有封顶吗？如果有，大概是多少？是按人头算还是按次数算？
请给出回答。 
system: 哈尔滨城镇职工基本医疗保险统筹基金年度最高支付限额为 50万元。这指的是所有住院（含自由转诊、异地转诊、异地急诊）的累计总额，不是按人头或次数计算。超过 50万的部分需通过大额医疗救助基金解决。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.7636046835303818)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.7618895486664438)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.7590238806617039)

哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.7579946468887897)"
我家孩子爸爸一直在公司上班，万一哪天得个大病花费巨大，这统筹基金报销有没有个封顶的数？,哈尔滨参保职工一个年度内发生符合范围的医疗费，统筹基金最高支付限额是 50 万元。," 
","一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 0.6883066918890266)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.6302255300010702)

哈尔滨城乡居民门诊特殊疾病待遇（其他特定病种），适用人群为学生儿童。
1. **肺结核、重性精神病药物维持治疗**：统筹基金支付比例 85%。
2. **苯丙酮尿症（限0-18周岁）**：年度最高支付限额 1.4万元，支付比例为 70%。
3. **儿童孤独症（限0-10周岁）**：不设起付标准，统筹基金按学生儿童住院相应支付比例进行支付，年度最高支付限额 1.8万元。
(Score: 0.6081868089613551)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。
**统筹基金支付项目包括**：
1. **透析门诊用药**：在职人员报销 90%，退休人员报销 93%。
2. **腹膜透析组套**：定额标准为每人每日 160元，统筹基金支付 95%（即支付152元/日）。
(Score: 0.5976607699300911)"
医生让我开点药，但我不知道这些药医保能不能给报，这医保报销的范围到底是按什么标准定的？,医保基金支付范围包括黑龙江省药品目录、诊疗项目目录、医疗服务设施项目目录以及相关法律法规规定的项目。," 
回答: 医保报销范围严格遵循国家和省级药品目录及诊疗项目目录。目录内的药品（如甲类/乙类药）和诊疗项目可报，目录外的自费。具体查询国家医保局官网目录或咨询医院医保办。","哈尔滨医保零星报销（手工报销）适用范围与限制条件。
1. **适用情况**：在异地定点医药机构未能直接结算的门诊特殊疾病、门诊慢性病、门诊特殊药品、急诊转住院、异地安置住院、临时外出就医住院、转诊转院住院等。
2. **本地限制（重要）**：哈尔滨市统筹区域范围内定点医药机构就医需持卡直接结算。未在定点医药机构就诊的医疗费用，医保基金不予支付（急诊抢救除外）。
(Score: 0.6423111287040992)

二、医保基金支付范围
医保基金支付范围包括《黑龙江省基本医疗
保险、工伤保险和生育保险药品目录》、《黑龙
江省基本医疗保险、工伤保险和生育保险诊疗项
目和医疗服务设施项目目录》及社会保险法律法
规规定的药品、诊疗项目和服务设施项目。
(Score: 0.6414690059675594)

一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 0.6406449010529514)

哈尔滨城乡居民“两病”门诊待遇（高血压、糖尿病专项保障）。
**适用对象**：未达到门诊慢性病鉴定标准的“两病”参保居民。
**待遇标准**：
1. **起付标准**：不设起付标准（0门槛费）。
2. **支付比例**：二级定点医疗机构 70%，二级以下定点基层医疗机构 80%。
3. **支付限额**：高血压患者降血压用药年度统筹基金最高支付限额 400元；糖尿病患者降血糖用药年度统筹基金最高支付限额 600元。
(Score: 0.6236389391390496)"
我妈住院时用了一些理疗设备，这些服务的费用是咱们医保管的吗？,医保基金支付范围涵盖了符合黑龙江省规定的诊疗项目和医疗服务设施项目。," 
回答: 医保主要支付与病情相关的医疗费用。理疗设备如果属于常规康复治疗且符合医保支付范围，通常可以报销；如果是高端理疗或非医疗性质的服务，则需自理。具体需看该设备是否在医保支付目录内。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.5512156848724585)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.5468629179007612)

哈尔滨城镇职工医保政策说明：住院个人负担费用的具体构成包括：起付标准（门槛费）部分、先行自付部分、超限价部分、自费部分、以及统筹支付范围内的自付部分。
(Score: 0.545817006569905)

哈尔滨城镇职工门诊特殊疾病待遇，各病种对应的**统筹基金支付项目**及待遇如下：
1. **重性精神病药物维持治疗**：在职人员支付 90%，退休人员支付 90%（注意：退休不执行93%标准）。
2. **肺结核药物维持治疗**：在职人员支付 95%，退休人员支付 98%。
3. **特殊药品（靶向用药）**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.5427100403843406)"
我还在单位上班，这次因为肺炎住进了咱们哈市的一家三级大医院，听说住院得先交个门槛费，那是多少钱？,在职人员在哈市三级定点医院住院，起付标准（门槛费）为 720 元。," 
起付标准（门槛费）为 720 元。肺炎属于传染病，通常按传染病医院政策执行 0 起付。但由于您选了一般三级医院，按普通三级医院政策计算，需交 720 元。在职人员报销比例 90%。","哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.7352309649482234)

哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.7263004348596235)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.712012217844895)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6987538930118189)"
我爸退休好几年了，最近心梗住进了三级医院，等出院结算的时候，统筹金报销比例大概是多少？,退休人员在哈市三级定点医院住院，统筹基金和大额基金的支付比例均为 93%。," 
回答: 约 93%。哈尔滨退休人员在三级医院住院，统筹基金的支付比例为 93%。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.6260438938231865)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.621168220398612)

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为成人居民。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%
**定点药店待遇**：在定点零售药店发生的费用，支付 70%。
**支付限额**：统筹金年度最多支付不超过 2400元。
(Score: 0.6161639533185799)

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为学生儿童。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%
**定点药店待遇**：在定点零售药店发生的费用，支付 80%。
**支付限额**：统筹金年度最多支付不超过 2400元。
(Score: 0.6138203879734769)"
我在三级医院住院花了一大笔钱，超过 15 万的那部分大额基金，我们在职员工还能按 90% 报销吗？,是的，在职人员在三级定点医院住院，统筹基金和大额基金的支付比例一致，都是 90%。," 
回答: 不能。超过 15 万元进入大额医疗救助基金后，报销比例变更为在职 80%/退休 83%。如果仅剩几千元，可能无法达到大额基金的起付线（200元），需自费。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.6424244425080468)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6377069627952786)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**恶性肿瘤**。**统筹基金支付项目包括**：放疗、化疗、免疫治疗、内分泌治疗、抗疼痛治疗以及与病情相关的一次性医用材料、检查检验、服务设施等费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.6363723174447843)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6344337779982917)"
我退休的大爷想去三级医院手术，他一直担心起付线太贵，这个三级医院的门槛费具体是多少？,退休人员在哈市三级定点医院住院的起付标准是 720 元。," 
回答: 哈尔滨三级定点医院退休人员住院起付标准（门槛费）为 720 元。","哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.61998411367688)

哈尔滨城乡居民普通门诊待遇。
**起付标准（门槛费）**：0元。
**统筹基金支付比例**：
- 一级及无等级医疗机构：70%
- 二级医疗机构：60%
- 三级医疗机构：50%
**年度限额**：一个年度内，统筹基金最高支付限额 500元。
(Score: 0.6024805640546419)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.599985451147859)

哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.5983085386202959)"
单位的小张出差回来生病住进了哈尔滨的三级医院，作为在职职工，他在统筹段（15万以下）的报销比例是多少？,在职人员在哈市三级定点医院住院，统筹基金（起付线-15万元）的支付比例为 90%。," 
回答: 在职人员在哈市三级定点医院住院，统筹段（15万以下）的报销比例为 90%。","哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.7259997992790792)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.7254951451409727)

哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.7243254615733717)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.7242163803430913)"
我妈在市里一个二级医院住院，我就想问问，这种二级医院的住院门槛费是不是比大医院便宜点？,城镇职工在哈市二级定点医院住院，起付标准（门槛费）为 480 元。," 
回答: 是的。二级定点医院的起付标准为 480 元，低于三级医院的 720 元。这符合哈尔滨医保规定，多次住院还有递减优惠。","哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6387320385474022)

哈尔滨城镇职工医保住院政策说明：参保职工在一个自然年度内，第二次住院的起付标准（门槛费）降低 15%；多次住院（第三次及以上）执行第二次住院的起付标准。 (注：这是非常容易被用户问到的""隐藏福利""，必须单列)
(Score: 0.6277606206667128)

哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6110965829787228)

哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 0.6104365207401377)"
